City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
277,malinyi,88,TZ,1531427664,76,-8.94,36.14,68.94,0.81
278,kavieng,68,PG,1531427419,100,-2.57,150.8,79.65,5.61
279,mar del plata,44,AR,1531427591,65,-46.43,-67.52,49.32,9.6
280,provideniya,40,RU,1531425600,66,64.42,-173.23,48.2,11.18
281,haines junction,24,CA,1531427665,52,60.75,-137.51,52.92,2.82
282,lata,80,IN,1531427665,100,30.78,78.62,59.67,1.77
283,klaksvik,90,FO,1531426800,100,62.23,-6.59,50.0,8.05
284,tsaratanana,0,MG,1531427665,67,-16.8,47.65,64.26,11.43
285,yanam,92,IN,1531427666,95,16.73,82.22,77.04,20.83
286,turukhansk,20,RU,1531427666,64,65.8,87.96,55.53,8.93
287,hirara,56,JP,1531427666,100,24.8,125.28,82.17,14.63
288,nassjo,0,SE,1531426800,72,57.65,14.7,62.6,4.38
289,kimbe,0,PG,1531427666,100,-5.56,150.15,78.66,5.91
290,ilulissat,40,GL,1531425000,70,69.22,-51.1,44.6,6.93
291,yantal,8,RU,1531427667,95,56.85,105.25,56.97,3.78
292,kisanga,0,CD,1531427667,63,-11.72,27.4,55.44,5.79
293,hailar,0,CN,1531427667,89,49.2,119.7,56.16,10.54
294,newport,64,GB,1531426800,72,51.59,-3.0,68.0,6.93
295,eyl,0,SO,1531427668,62,7.98,49.82,85.77,25.41
296,taiyuan,90,CN,1531425600,94,37.86,112.56,69.8,4.47
297,wakkanai,92,JP,1531427669,97,45.41,141.67,58.14,4.34
298,shingu,24,JP,1531427669,93,33.72,135.99,79.29,4.05
299,te anau,24,NZ,1531427669,70,-45.41,167.72,27.72,5.57
300,batemans bay,36,AU,1531427669,100,-35.71,150.18,44.64,8.81
301,mahebourg,40,MU,1531425600,60,-20.41,57.7,71.6,9.17
302,san quintin,92,PH,1531427670,93,17.54,120.52,70.29,2.55
303,kedrovyy,0,RU,1531425600,93,56.17,91.82,57.2,2.71
304,las juntas,92,CR,1531427670,66,10.28,-84.96,85.23,4.79
305,xichang,68,CN,1531427670,96,27.88,102.25,59.67,1.36
306,hami,32,CN,1531427670,41,42.84,93.51,68.22,4.05
307,muravlenko,44,RU,1531427671,67,63.79,74.5,58.05,11.88
308,lasa,75,CY,1531425600,83,34.92,32.53,80.6,9.17
309,nanortalik,92,GL,1531427671,96,60.14,-45.24,37.44,9.42
310,phuthaditjhaba,0,ZA,1531427671,68,-28.53,28.82,21.96,2.48
311,leh,92,IN,1531427671,99,34.16,77.58,35.37,1.48
312,clyde river,75,CA,1531425600,71,70.47,-68.59,50.0,12.75
313,jasper,56,US,1531425360,47,33.83,-87.28,96.8,3.04
314,fare,88,PF,1531427672,98,-16.7,-151.02,80.19,22.84
315,watsa,0,CD,1531427672,92,3.04,29.53,65.97,1.48
316,yzeure,0,FR,1531425600,49,46.57,3.36,68.0,2.37
317,mayo,75,CA,1531425600,76,63.59,-135.9,55.4,4.7
318,san andres,88,PH,1531427517,100,13.32,122.68,80.01,7.25
319,palmer,75,US,1531425360,76,61.6,-149.11,60.8,5.82
320,faanui,92,PF,1531422000,66,-16.48,-151.75,86.0,5.82
321,byron bay,0,AU,1531425600,100,-28.65,153.62,51.8,5.82
322,plettenberg bay,76,ZA,1531427674,100,-34.05,23.37,58.05,19.55
323,robertsport,88,LR,1531427675,100,6.75,-11.37,77.22,6.29
324,nortelandia,0,BR,1531427675,80,-14.45,-56.8,76.68,2.77
325,puerto del rosario,40,ES,1531425600,78,28.5,-13.86,71.6,16.11
326,narok,76,KE,1531427675,97,-1.09,35.87,57.6,3.49
327,yulara,0,AU,1531425600,44,-25.24,130.99,37.4,6.93
328,patan,8,NP,1531427676,91,27.67,85.33,68.31,2.1
329,anloga,20,GH,1531425600,83,5.79,0.9,78.8,13.87
330,ancud,92,CL,1531427676,98,-41.87,-73.83,51.39,6.91
331,parfenyevo,56,RU,1531427676,86,58.48,43.41,65.7,7.92
332,yichang,92,CN,1531427677,100,30.77,111.32,74.61,3.49
333,port lincoln,0,AU,1531427677,100,-34.72,135.86,41.13,4.9
334,port macquarie,0,AU,1531425600,86,-31.43,152.91,41.0,6.93
335,mackay,75,CA,1531425600,49,53.65,-115.58,73.4,4.7
336,naze,75,NG,1531425600,88,5.43,7.07,75.2,4.23
337,okato,88,NZ,1531427678,100,-39.19,173.88,51.39,4.5
338,pundaguitan,92,PH,1531427678,100,6.37,126.17,81.45,5.57
339,semenivka,36,UA,1531427678,74,52.18,32.58,70.92,3.22
340,astrea,36,CO,1531427679,30,9.5,-73.98,100.8,4.61
341,dingle,80,PH,1531427679,99,11.0,122.67,73.08,2.89
342,guder,76,ET,1531427679,97,8.97,37.77,53.55,1.21
343,kieta,88,PG,1531427679,100,-6.22,155.63,77.22,7.25
344,normandin,20,CA,1531425600,53,48.84,-72.53,71.6,5.82
345,lamar,20,US,1531425180,22,38.09,-102.62,98.6,18.34
346,tautira,20,PF,1531425600,69,-17.73,-149.15,80.6,4.7
347,warrnambool,36,AU,1531427542,100,-38.38,142.48,45.81,7.4
348,lahad datu,92,MY,1531427680,97,5.02,118.33,75.78,2.33
349,farah,0,AF,1531427680,16,32.37,62.11,85.32,10.65
350,nome,40,US,1531426500,52,30.04,-94.42,93.2,6.93
351,faya,5,SA,1531425600,46,18.39,42.45,73.4,4.7
352,defiance,1,US,1531426500,35,41.28,-84.36,87.8,4.61
353,ngunguru,64,NZ,1531427681,100,-35.62,174.5,56.61,11.27
354,ambon,0,FR,1531425600,57,47.55,-2.56,75.2,3.36
355,tambun,75,MY,1531422000,83,4.62,101.14,78.8,3.36
356,zhangye,0,CN,1531427681,52,38.94,100.46,59.85,4.38
357,boa vista,40,BR,1531425600,62,2.82,-60.67,86.0,4.7
358,souillac,0,FR,1531425600,41,45.6,-0.6,75.2,5.82
359,san ignacio,90,CL,1531425600,87,-36.8,-72.03,53.6,2.24
360,hualmay,64,PE,1531427683,65,-11.1,-77.61,69.75,6.4
361,sabang,92,PH,1531427683,100,13.72,123.58,76.05,3.22
362,aykhal,100,RU,1531427683,68,65.95,111.51,54.63,7.07
363,ribas do rio pardo,12,BR,1531427684,42,-20.45,-53.76,73.89,5.5
364,hay river,75,CA,1531425600,46,60.82,-115.79,71.6,8.05
365,san patricio,56,PY,1531427684,78,-26.98,-56.83,60.84,2.21
366,anadyr,90,RU,1531425600,81,64.73,177.51,50.0,11.18
367,troitskoye,64,RU,1531427684,75,52.98,84.68,67.59,2.55
368,solnechnyy,92,RU,1531427685,86,50.72,136.64,69.21,2.37
369,dudinka,0,RU,1531427685,57,69.41,86.18,46.8,13.85
370,dzaoudzi,0,YT,1531425600,78,-12.79,45.27,75.2,3.36
371,baykit,48,RU,1531427685,89,61.68,96.39,55.62,2.48
372,dakar,20,SN,1531422000,74,14.69,-17.45,84.2,11.41
373,trairi,36,BR,1531427590,100,-3.28,-39.27,79.92,21.68
374,vrangel,12,RU,1531427452,87,42.73,133.08,59.49,8.52
375,vangaindrano,92,MG,1531427686,95,-23.35,47.6,62.64,4.56
376,west bay,20,GB,1531426800,88,50.71,-2.76,66.2,6.93
377,rocha,0,UY,1531427686,71,-34.48,-54.34,54.09,10.09
378,mier,0,IT,1531425000,83,46.13,12.19,78.8,2.24
379,wawa,68,NG,1531427687,91,9.9,4.41,73.44,8.59
380,codrington,0,AU,1531427687,86,-28.95,153.24,40.14,3.04
381,rapid valley,90,US,1531426500,88,44.06,-103.15,73.4,9.82
